filename	3_types	16_types
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/MTRC0/SI993.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MRMH0/SX31.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/FLEH0/SI1051.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/MMVP0/SX114.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MKDT0/SX443.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/MEWM0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MVJH0/SI926.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR6/MRXB0/SI1585.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/FCMM0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MAPV0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR8/MMPM0/SX251.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/FLJD0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MJKR0/SI1201.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MJRA0/SX336.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/FLTM0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR6/FRJB0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/FPAB1/SX301.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MCEF0/SX235.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/FLJA0/SX358.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MJJM0/SI1251.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MDDC0/SX69.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/MFRM0/SX345.WAV	C1	C1
/home/koredata/hsinhung/speech/C2_clo_full_1030/TRAIN/DR6/FKLC1/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR6/MKES0/SI1253.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR6/MMDB0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/FSAK0/SI1300.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MJRA0/SX66.WAV	C1	C1
/home/koredata/hsinhung/speech/M1_mid_full_1022/TRAIN/DR7/MDLC1/SX85.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/FSMS1/SI1504.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MGSL0/SX444.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MKAH0/SX268.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/FSDC0/SI2234.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/FSCN0/SI705.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MLNS0/SX147.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MMGK0/SX332.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/FJLG0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MMJB1/SI2038.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MDJM0/SX285.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/MDMA0/SX440.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/MESG0/SX162.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MMAA0/SX125.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/MJWG0/SI895.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/MJPG0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MMAR0/SI706.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MRTJ0/SX52.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR4/MRFL0/SI1156.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/FLET0/SX57.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MDPB0/SX146.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MWDK0/SX446.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/FLJG0/SI981.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MTWH1/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR5/FGMB0/SX65.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MDLH0/SX160.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MRJM1/SI668.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR6/FBCH0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/FKDE0/SX331.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR8/MTCS0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MJHI0/SX338.WAV	C1	C1
/home/koredata/hsinhung/speech/D1_mid_full_1013/TRAIN/DR7/MRPC1/SX42.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MRWA0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MBBR0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR8/MEJS0/SX160.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/FSLS0/SI1686.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/MSAH1/SI1049.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR3/MMEB0/SX187.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/MDBP0/SA2.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR2/FSRH0/SA1.WAV	C1	C1
/home/koredata/hsinhung/speech/C1_mid_full_1021/TRAIN/DR7/FCRZ0/SX433.WAV	C1	C1
